twbudget,"twbudget hacks for yahoo hackday tw 2012",2012-10-21T02:02:40Z,2021-12-01T08:20:45Z,2020-08-15T05:46:38Z,2823,50,50,LiveScript,30,30,14
twgeojson,"geojson data for Taiwan",2012-11-07T10:52:18Z,2022-08-16T14:19:47Z,2015-08-19T15:28:49Z,93138,170,170,LiveScript,81,81,18
twlyparser,"parse TW congress logs",2012-11-14T16:22:41Z,2019-08-13T15:11:47Z,2016-11-29T07:27:00Z,5396,24,24,LiveScript,18,18,17
lvr.land.moi,"wrapper for real-price.appspot.com",2012-11-14T16:48:56Z,2013-11-07T08:08:53Z,2012-11-15T01:05:59Z,108,2,2,,0,0,0
ly.g0v.tw,"ly.g0v.tw - Congress Matters / 國會大代誌",2012-11-18T15:48:55Z,2020-07-30T02:09:17Z,2021-01-23T07:58:51Z,11790,53,53,HTML,16,16,84
twlyreader-prototype,,2012-11-30T18:03:53Z,2019-08-13T15:12:29Z,2012-12-10T15:14:03Z,16880,5,5,JavaScript,1,1,3
govfeeds,"collection of rss links found on gov.tw pages",2012-12-01T02:08:59Z,2019-08-13T15:12:31Z,2016-05-22T20:15:52Z,25,9,9,LiveScript,3,3,0
ly-gazette,"parsed gazettes",2012-12-01T02:57:49Z,2019-04-04T10:32:24Z,2013-03-17T19:02:31Z,448283,12,12,,8,8,317
g0vre,"Generic Reader/Extractor service for *.gov.tw URLs",2012-12-01T15:52:08Z,2020-07-09T01:09:23Z,2022-06-22T16:44:32Z,185,8,8,LiveScript,2,2,2
ly-committee,"Name lists of legislative committee members.",2012-12-02T16:58:06Z,2013-11-07T08:08:37Z,2012-12-02T16:58:21Z,108,1,1,,0,0,0
dev,dev.g0v.tw,2012-12-04T07:48:55Z,2022-08-23T11:33:40Z,2020-05-04T14:27:20Z,474920,148,148,HTML,30,30,21
ly-vote,"Voting Result Visualization of Legislative Committee Members",2012-12-15T14:06:32Z,2017-03-20T23:26:11Z,2014-05-08T15:46:12Z,301,2,2,JavaScript,1,1,2
ly-glossary,立法院中英雙語詞彙對照表,2012-12-26T06:23:41Z,2013-11-07T08:06:52Z,2012-12-26T06:27:37Z,99,2,2,JavaScript,0,0,1
g0v.tw,"g0v.tw site",2013-01-19T14:48:13Z,2022-08-17T02:57:01Z,2022-03-02T09:49:26Z,37113,173,173,Pug,62,62,54
moedict-epub,萌典一書,2013-01-27T15:52:59Z,2022-05-15T06:56:37Z,2019-12-22T03:34:43Z,7520,21,21,HTML,5,5,2
moedict-process,"教育部重編國語辭典 資料處理",2013-01-28T01:06:39Z,2022-06-24T15:55:48Z,2018-01-03T05:09:05Z,35,30,30,Python,8,8,10
listening,,2013-01-28T14:52:48Z,2015-12-20T09:37:25Z,2013-02-08T13:31:48Z,3952,3,3,JavaScript,0,0,0
